"","status","family","pval","qval","gene_short_name","num_cells_expressed","use_for_ordering"
"Med27","OK","negbinomial.size",0.333037928111783,0.586796072707647,"Med27",84,TRUE
"Rapgef1","OK","negbinomial.size",0.690714470041857,0.842434959092999,"Rapgef1",106,TRUE
"Trub2","OK","negbinomial.size",0.316964838984331,0.570679303608356,"Trub2",30,FALSE
"Coq4","OK","negbinomial.size",0.123559024319874,0.33013887137065,"Coq4",50,TRUE
"Slc27a4","OK","negbinomial.size",0.51595667364025,0.730537547216686,"Slc27a4",63,TRUE
"Urm1","OK","negbinomial.size",0.272787475768966,0.522807671193266,"Urm1",159,TRUE
"Cercam","OK","negbinomial.size",0.00202476474318188,0.0156156322863704,"Cercam",217,TRUE
"Odf2","OK","negbinomial.size",0.293934371530327,0.546330828888514,"Odf2",61,TRUE
"Gle1","OK","negbinomial.size",0.631369833537268,0.805983880198782,"Gle1",144,TRUE
"Sptan1","OK","negbinomial.size",0.235132145881585,0.481698505804212,"Sptan1",353,TRUE
"Wdr34","OK","negbinomial.size",0.0897254601696037,0.26833827239407,"Wdr34",53,TRUE
"Set","OK","negbinomial.size",2.81470981867566e-07,5.33699462404052e-06,"Set",460,TRUE
"Pkn3","OK","negbinomial.size",1.15557001961135e-06,1.95019843972361e-05,"Pkn3",103,TRUE
"Zdhhc12","OK","negbinomial.size",0.102982892667377,0.292786828467752,"Zdhhc12",57,TRUE
"Zer1","OK","negbinomial.size",0.702279592709166,0.849589238464743,"Zer1",47,TRUE
"Tbc1d13","OK","negbinomial.size",0.363120195957965,0.614022175114302,"Tbc1d13",33,FALSE
"Endog","OK","negbinomial.size",0.127421705808361,0.335578762699998,"Endog",118,TRUE
"D2Wsu81e","OK","negbinomial.size",0.973729493401677,0.989135177361154,"D2Wsu81e",74,TRUE
"Ccbl1","OK","negbinomial.size",0.917634255794901,0.962172521985075,"Ccbl1",14,FALSE
"Lrrc8a","OK","negbinomial.size",0.114007954344227,0.312627449185816,"Lrrc8a",221,TRUE
"Dolk","OK","negbinomial.size",0.86911718415465,0.941371687936864,"Dolk",80,TRUE
"Nup188","OK","negbinomial.size",0.19132126025353,0.428189742840235,"Nup188",49,TRUE
"Sh3glb2","OK","negbinomial.size",0.259517582285804,0.506448466067718,"Sh3glb2",212,TRUE
"Fam73b","OK","negbinomial.size",0.55302994691045,0.756725824916162,"Fam73b",20,FALSE
"Dolpp1","OK","negbinomial.size",0.0464949466975198,0.175802614598242,"Dolpp1",51,TRUE
"Crat","OK","negbinomial.size",0.760410076189338,0.886031788283063,"Crat",122,TRUE
"Ppp2r4","OK","negbinomial.size",0.728505484840192,0.866152477939709,"Ppp2r4",248,TRUE
"Ier5l","OK","negbinomial.size",0.620923675684569,0.800716249878236,"Ier5l",54,TRUE
"Ntmt1","OK","negbinomial.size",0.134310978784014,0.347675867002463,"Ntmt1",133,TRUE
"Asb6","OK","negbinomial.size",0.317734283618317,0.571330292398406,"Asb6",64,TRUE
"Prrx2","OK","negbinomial.size",9.77209117541758e-10,2.53486235443818e-08,"Prrx2",395,TRUE
"Ptges","OK","negbinomial.size",0.427623946075099,0.669070541774874,"Ptges",37,TRUE
"Tor1b","OK","negbinomial.size",0.0417423783858853,0.16298435268022,"Tor1b",146,TRUE
"Tor1a","OK","negbinomial.size",0.52092668043899,0.734928664384152,"Tor1a",182,TRUE
"BC005624","OK","negbinomial.size",0.855091243939374,0.934484627636646,"BC005624",294,TRUE
"Usp20","OK","negbinomial.size",0.0350608866068329,0.142817991754333,"Usp20",44,TRUE
"Fnbp1","OK","negbinomial.size",0.917470439000393,0.962172521985075,"Fnbp1",151,TRUE
"Gpr107","OK","negbinomial.size",0.995147245198769,0.997818542385237,"Gpr107",99,TRUE
"Ncs1","OK","negbinomial.size",3.45615819767187e-06,5.35680619130166e-05,"Ncs1",141,TRUE
"Hmcn2","OK","negbinomial.size",0.170208948808029,0.401127545813411,"Hmcn2",11,FALSE
"Ass1","OK","negbinomial.size",0.0600769407901637,0.206700091647091,"Ass1",22,FALSE
"Fubp3","OK","negbinomial.size",0.139136150624303,0.354676911714273,"Fubp3",109,TRUE
"Exosc2","OK","negbinomial.size",0.324147622799561,0.578513692406962,"Exosc2",51,TRUE
"Abl1","OK","negbinomial.size",0.93340409947603,0.968582863110324,"Abl1",108,TRUE
"Nup214","OK","negbinomial.size",0.855373007183813,0.934605101257977,"Nup214",58,TRUE
"Plpp7","OK","negbinomial.size",0.260399503830523,0.507572941368035,"Plpp7",51,TRUE
"Prrc2b","OK","negbinomial.size",0.157822923011939,0.383969534362089,"Prrc2b",223,TRUE
"Pomt1","OK","negbinomial.size",0.988554487392309,0.995394158120066,"Pomt1",34,FALSE
"Uck1","OK","negbinomial.size",0.702047186504462,0.849452531737406,"Uck1",110,TRUE
"Swi5","OK","negbinomial.size",0.620163412927996,0.800619518697347,"Swi5",627,TRUE
"Golga2","OK","negbinomial.size",0.968349880694491,0.986325254867068,"Golga2",158,TRUE
"Dnm1","OK","negbinomial.size",0.00633266498208845,0.038926957646343,"Dnm1",209,TRUE
"Ciz1","OK","negbinomial.size",0.0103106624801912,0.0575691498520291,"Ciz1",79,TRUE
"1110008P14Rik","OK","negbinomial.size",0.657357749231397,0.823884457877982,"1110008P14Rik",314,TRUE
"Lcn2","OK","negbinomial.size",8.56158299860491e-05,0.00101417652306942,"Lcn2",16,FALSE
"Ptges2","OK","negbinomial.size",0.158001021179145,0.38426531038261,"Ptges2",77,TRUE
"Slc25a25","OK","negbinomial.size",0.127886820769165,0.336363795639082,"Slc25a25",66,TRUE
"Naif1","OK","negbinomial.size",0.155127142191185,0.380051323872852,"Naif1",11,FALSE
"Fam102a","OK","negbinomial.size",1.74755672911393e-06,2.85468231872459e-05,"Fam102a",131,TRUE
"Dpm2","OK","negbinomial.size",0.771965396240595,0.890384225170039,"Dpm2",198,TRUE
"St6galnac4","OK","negbinomial.size",0.0128902331139609,0.0679115901622219,"St6galnac4",150,TRUE
"St6galnac6","OK","negbinomial.size",0.137361926727304,0.352076338267651,"St6galnac6",251,TRUE
"Ak1","OK","negbinomial.size",0.00382661967463708,0.0260675380388955,"Ak1",262,TRUE
"Eng","OK","negbinomial.size",0.00185100619479383,0.0145051576355662,"Eng",58,TRUE
"Fpgs","OK","negbinomial.size",0.675315322464746,0.833617922839826,"Fpgs",43,TRUE
"Cdk9","OK","negbinomial.size",0.0663232057807731,0.221327529475683,"Cdk9",186,TRUE
"Tor2a","OK","negbinomial.size",0.00063593142438383,0.00582665812911817,"Tor2a",104,TRUE
